Player_ID,Total_Overs,Total_Maidens,Total_Wickets,Total_Runs,Total_No_of_No Balls,Total_No_of_Wide,Economy
P044,18,0,2,142,0,9,7.89
P045,18,0,2,100,0,1,5.56
P047,20,0,2,75,0,1,3.75
P046,17,0,2,135,0,9,7.94
P089,14.3,0,1,83,0,0,5.8
P041,5,0,0,25,0,0,5
P134,41,0,9,233,0,11,5.68
P126,14.8,0,4,61,0,3,4.12
P092,45,2,5,196,0,1,4.36
P069,24.3,0,4,143,1,12,5.88
P070,42,1,5,183,0,0,4.36
P072,46.3,0,7,223,1,8,4.82
P060,21,0,2,153,0,5,7.29
P097,20.5,0,7,140,0,2,6.83
P099,19,0,3,109,0,3,5.74
P058,20,0,1,125,0,1,6.25
P059,20.5,0,1,129,0,10,6.29
P127,17,0,2,103,1,10,6.06
P135,26,0,7,152,0,10,5.85
P082,30,0,3,160,0,6,5.33
P103,19.1,1,2,121,0,3,6.34
P136,28,0,6,172,1,1,6.14
P100,8,0,0,28,0,1,3.5
P088,5,0,2,41,0,0,8.2
P117,31.2,1,10,167,0,7,5.35
P118,29,2,3,160,0,5,5.52
P007,49,2,8,201,0,5,4.1
P119,43,1,6,267,0,20,6.21
P116,50,2,9,240,0,10,4.8
P006,19,0,2,131,0,1,6.89
P035,29,0,6,201,1,15,6.93
P111,17.3,0,1,125,0,1,7.23
P061,15,0,1,106,0,2,7.07
P036,27,1,3,144,0,2,5.33
P109,11,0,0,73,0,0,6.64
P110,15.1,0,3,99,0,0,6.56
P025,25,1,4,150,0,10,6
P125,25,0,6,161,0,2,6.44
P124,25.3,3,6,148,2,4,5.85
P122,22.2,0,6,109,0,8,4.91
P123,30,1,3,146,0,0,4.87
P084,21,1,3,98,0,2,4.67
P131,30,0,9,136,0,9,4.53
P093,4,0,0,23,0,0,5.75
P086,4,0,1,42,0,0,10.5
P017,16,2,2,64,0,0,4
P018,19,0,2,104,0,3,5.47
P016,8.3,0,0,58,0,2,6.99
P011,20,0,0,90,0,0,4.5
P015,19.1,0,3,96,0,0,5.03
P034,7,0,1,69,0,0,9.86
P049,9,0,1,43,0,0,4.78
P010,1,0,0,12,0,0,12
P098,11,0,2,70,0,0,6.36
P062,5,0,0,31,0,1,6.2
P074,8,0,1,37,0,0,4.63
P078,6,0,0,41,0,0,6.83
P068,1,0,0,6,0,0,6